Column1.1,Column1,Column1.3,Column1.4,Column1.5
TIME:3:39:45,,IR1:60,IR2:60,US:85
TIME:3:39:46,,IR1:90,IR2:75,US:74
TIME:3:39:46,,IR1:15,IR2:60,US:63
TIME:3:39:47,,IR1:15,IR2:60,US:32
TIME:3:39:47,,IR1:45,IR2:75,US:22
TIME:3:39:48,,IR1:30,IR2:60,US:41
TIME:3:39:49,,IR1:15,IR2:90,US:79
TIME:3:39:49,,IR1:60,IR2:60,US:70
TIME:3:39:49,,IR1:90,IR2:75,US:59
TIME:3:39:50,,IR1:90,IR2:75,US:44
TIME:3:39:51,,IR1:30,IR2:75,US:31
TIME:3:39:51,,IR1:15,IR2:105,US:23
TIME:3:39:52,,IR1:60,IR2:75,US:75
TIME:3:39:52,,IR1:15,IR2:90,US:64
TIME:3:39:53,,IR1:90,IR2:60,US:50
TIME:3:39:53,,IR1:75,IR2:75,US:41
TIME:3:39:54,,IR1:45,IR2:60,US:29
TIME:3:39:54,,IR1:15,IR2:75,US:20
TIME:3:39:55,,IR1:45,IR2:60,US:16
TIME:3:39:55,,IR1:30,IR2:60,US:76
TIME:3:39:56,,IR1:60,IR2:75,US:69
TIME:3:39:56,,IR1:60,IR2:60,US:56
TIME:3:39:57,,IR1:60,IR2:75,US:44
TIME:3:39:57,,IR1:60,IR2:60,US:33
TIME:3:39:58,,IR1:15,IR2:60,US:23
TIME:3:39:59,,IR1:0,IR2:75,US:17
TIME:3:39:59,,IR1:0,IR2:60,US:69
TIME:3:40:00,,IR1:45,IR2:75,US:63
TIME:3:40:00,,IR1:60,IR2:60,US:56
TIME:3:40:01,,IR1:30,IR2:60,US:45
TIME:3:40:01,,IR1:75,IR2:75,US:50
TIME:3:40:02,,IR1:75,IR2:60,US:30
TIME:3:40:02,,IR1:60,IR2:60,US:59
TIME:3:40:03,,IR1:60,IR2:75,US:44
TIME:3:40:04,,IR1:75,IR2:60,US:32
TIME:3:40:04,,IR1:75,IR2:75,US:24
TIME:3:40:05,,IR1:75,IR2:75,US:43
TIME:3:40:05,,IR1:75,IR2:75,US:71
TIME:3:40:06,,IR1:60,IR2:75,US:23
TIME:3:40:06,,IR1:45,IR2:60,US:60
TIME:3:40:07,,IR1:45,IR2:60,US:49
TIME:3:40:07,,IR1:45,IR2:75,US:39
TIME:3:40:08,,IR1:45,IR2:60,US:27
