Vl,Vr,S
60,75,68
90,70,71
95,75,67
110,95,89
120,90,83
110,90,77
105,90,73
50,10,14
50,60,63
80,60,400
70,75,400
70,100,229
85,100,218
85,100,218
85,100,212
85,95,204
120,85,199
120,85,199
120,100,400
110,105,400
110,100,400
120,110,168
130,100,163
130,120,169
130,120,145
130,120,121
130,60,28
130,60,36
130,40,29
80,50,51
80,50,50
80,50,51
80,40,51
80,90,128
80,90,95
100,90,83
120,85,89
120,85,400
120,130,211
120,130,176
120,130,104
60,120,59
60,120,76
50,120,65
50,100,51
45,115,45
110,115,102
110,115,124
100,120,95
100,125,84
120,130,71
120,130,114
100,130,104
100,80,98
100,80,400
110,80,400
100,90,98
100,95,84
85,95,77
45,80,52
40,85,45
45,90,32
55,95,58
100,95,145
100,95,81
110,100,101
100,95,89
90,85,63
75,80,70
85,80,61
95,75,50
85,60,52
85,65,43
100,120,400
100,120,344
110,120,107
110,120,117
110,40,51
110,80,142
55,80,41
55,85,44
55,85,26
50,85,22
100,85,107
100,85,138
100,120,400
100,130,189
100,100,82
100,50,66
65,50,73
65,75,95
80,75,122
80,75,119
80,75,112
80,100,400
80,100,400
105,100,400
105,100,400
105,100,323
105,100,400
105,100,400
105,100,400
105,100,400
105,50,57
80,30,33
50,30,63
55,30,62
55,65,181
55,50,59
55,50,59
55,50,58
55,50,58
55,20,58
40,10,11
45,10,9
40,15,50
40,35,158
75,55,149
75,95,139
85,95,130
105,95,122
105,95,400
105,95,400
105,95,400
105,95,400
105,90,400
85,90,400
85,75,72
85,75,65
85,55,58
85,55,52
75,40,45
75,40,37
75,25,30
75,20,22
75,95,192
100,95,400
100,95,400
100,95,400
100,95,400
100,95,400
100,95,400
100,95,400
100,95,144
100,95,400
100,95,221
100,95,85
80,95,74
80,60,68
80,90,123
80,90,114
105,90,400
105,90,95
105,90,86
105,90,72
85,90,65
85,65,163
55,65,119
55,65,148
80,65,144
80,65,98
80,65,98
80,65,93
80,65,143
75,65,128
75,100,400
110,100,400
110,100,400
110,100,400
110,100,400
50,20,22
50,15,15
50,15,11
65,50,122
65,50,116
65,50,400
65,75,313
65,75,400
65,75,101
65,75,108
65,75,122
65,75,63
80,75,400
80,75,400
80,95,101
50,95,31
50,95,31
50,45,80
50,45,71
50,45,400
80,95,152
105,95,400
105,95,400
105,95,400
105,95,400
105,95,400
105,95,217
120,95,400
120,135,400
120,135,400
120,65,30
50,15,19
50,15,8
50,35,41
50,65,45
